Non-optimal chan   22 proposed ABAI0002 at cool       1 iteration      28
Non-optimal chan    4 proposed ABAI0002 at cool       1 iteration      32
Non-optimal chan   30 proposed ABAI0002 at cool       1 iteration      47
Non-optimal chan    7 proposed ABAL0001 at cool       1 iteration      61
Non-optimal chan   32 proposed ABAI0002 at cool       1 iteration      63
Non-optimal chan   21 proposed ABAL0003 at cool       1 iteration      71
Non-optimal chan   14 proposed ABAI0002 at cool       1 iteration      76
Non-optimal chan   33 proposed ABAI0002 at cool       1 iteration      81
Non-optimal chan    6 proposed ABAL0001 at cool       1 iteration      83
Non-optimal chan    8 proposed ABAI0002 at cool       1 iteration      91
Non-optimal chan   39 proposed ABAI0002 at cool       1 iteration      94
Non-optimal chan   37 proposed ABAI0002 at cool       1 iteration      95
Non-optimal chan   18 proposed ABAI0002 at cool       1 iteration      96
Non-optimal chan   11 proposed ABAI0002 at cool       1 iteration     100
Non-optimal chan   22 proposed ABAI0002 at cool       2 iteration      13
Non-optimal chan   31 proposed ABAI0002 at cool       2 iteration      19
Non-optimal chan   33 proposed ABAI0002 at cool       2 iteration      23
Non-optimal chan   33 proposed ABAI0002 at cool       2 iteration      25
Non-optimal chan    4 proposed ABAI0002 at cool       2 iteration      27
Non-optimal chan   33 proposed ABAI0001 at cool       2 iteration      35
Non-optimal chan   29 proposed ABAI0002 at cool       2 iteration      55
Non-optimal chan   17 proposed ABAI0002 at cool       2 iteration      57
Non-optimal chan    3 proposed ABAI0002 at cool       2 iteration      73
Non-optimal chan   33 proposed ABAL0003 at cool       2 iteration      85
Non-optimal chan   21 proposed ABAL0003 at cool       2 iteration      86
Non-optimal chan   16 proposed ABAI0002 at cool       2 iteration      90
Non-optimal chan   25 proposed ABAI0002 at cool       2 iteration      91
Non-optimal chan   10 proposed ABAI0002 at cool       3 iteration       1
Non-optimal chan   37 proposed ABAI0002 at cool       3 iteration       2
Non-optimal chan    1 proposed ABAI0002 at cool       3 iteration       3
Non-optimal chan    2 proposed ABAI0002 at cool       3 iteration       9
Non-optimal chan   33 proposed ABAI0003 at cool       3 iteration      13
Non-optimal chan   31 proposed ABAL0003 at cool       3 iteration      28
Non-optimal chan    2 proposed ABAI0002 at cool       3 iteration      54
Non-optimal chan   13 proposed ABAL0003 at cool       3 iteration      55
Non-optimal chan   11 proposed ABAI0002 at cool       3 iteration      63
Non-optimal chan    7 proposed ABAL0003 at cool       3 iteration      63
Non-optimal chan    3 proposed ABAL0002 at cool       3 iteration      74
Non-optimal chan    9 proposed ABAL0003 at cool       3 iteration      81
Non-optimal chan   35 proposed ABAI0002 at cool       3 iteration      85
Non-optimal chan   19 proposed ABAI0002 at cool       4 iteration       2
Non-optimal chan   27 proposed ABAI0002 at cool       4 iteration      22
Non-optimal chan    9 proposed ABAI0002 at cool       4 iteration      23
Non-optimal chan   29 proposed ABAI0002 at cool       4 iteration      28
Non-optimal chan   27 proposed ABAI0002 at cool       4 iteration      59
Non-optimal chan    8 proposed ABAI0002 at cool       4 iteration      86
Non-optimal chan    3 proposed ABAI0002 at cool       5 iteration      29
Non-optimal chan   15 proposed ABAI0002 at cool       5 iteration      33
Non-optimal chan   25 proposed ABAI0002 at cool       5 iteration      44
Non-optimal chan    1 proposed ABAI0002 at cool       5 iteration      55
Non-optimal chan   27 proposed ABAI0002 at cool       5 iteration      56
Non-optimal chan   10 proposed ABAI0002 at cool       5 iteration      61
Non-optimal chan   14 proposed ABAI0002 at cool       5 iteration      65
Non-optimal chan   20 proposed ABAI0002 at cool       5 iteration      81
Non-optimal chan   36 proposed ABAI0002 at cool       6 iteration      37
Non-optimal chan    5 proposed ABAL0003 at cool       6 iteration      44
Non-optimal chan   39 proposed ABAL0003 at cool       6 iteration      45
Non-optimal chan    9 proposed ABAI0002 at cool       6 iteration      78
Non-optimal chan   12 proposed ABAI0002 at cool       7 iteration      29
Non-optimal chan   35 proposed ABAI0002 at cool       7 iteration      31
Non-optimal chan   17 proposed ABAI0002 at cool       7 iteration      40
Non-optimal chan   33 proposed ABAI0002 at cool       7 iteration      41
Non-optimal chan   16 proposed ABAI0002 at cool       7 iteration      42
Non-optimal chan   15 proposed ABAI0002 at cool       7 iteration      45
Non-optimal chan   23 proposed ABAI0002 at cool       7 iteration      49
Non-optimal chan   30 proposed ABAI0002 at cool       7 iteration      53
Non-optimal chan   21 proposed ABAI0002 at cool       7 iteration      59
Non-optimal chan   20 proposed ABAI0001 at cool       8 iteration      21
Non-optimal chan   29 proposed ABAL0001 at cool       8 iteration      57
Non-optimal chan   28 proposed ABAI0002 at cool       8 iteration      71
Non-optimal chan    9 proposed ABAI0002 at cool       8 iteration      92
Non-optimal chan    7 proposed ABAI0002 at cool       9 iteration      46
Non-optimal chan   13 proposed ABAI0002 at cool       9 iteration      68
Non-optimal chan   19 proposed ABAI0002 at cool      10 iteration       2
Non-optimal chan    6 proposed ABAI0002 at cool      10 iteration      90
Non-optimal chan   24 proposed ABAI0002 at cool      12 iteration       3
Non-optimal chan   25 proposed ABAI0002 at cool      12 iteration      26
Non-optimal chan    4 proposed ABAI0002 at cool      12 iteration      82
