study index3
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAA0001                 155.0        960.00000       18.40    Use file-vertical      1  N44°03'15.20" W123°07'18.13"
ABAA0002                 155.0        960.00000       16.00    Use file-vertical      1  N44°03'15.20" W123°07'18.13"
ABAA0003                 155.0        960.00000       19.40    Use file-vertical      1  N44°03'15.20" W123°07'18.13"
ABAB0001                 353.8        960.00000       16.00    Use file-vertical      1  N44°01'56.35" W123°00'17.63"
ABAB0002                 353.8        960.00000       14.40    Use file-vertical      1  N44°01'56.35" W123°00'17.63"
ABAB0003                 353.8        960.00000       19.00    Use file-vertical      1  N44°01'56.35" W123°00'17.63"
ABAC0001                 640.7        960.00000       20.00    Use file-vertical      1  N43°58'59.63" W123°05'44.19"
ABAC0003                 630.7        960.00000       18.00    Use file-vertical      1  N43°58'59.63" W123°05'44.19"
ABAC0002                 630.7        960.00000       18.00    Use file-vertical      1  N43°58'59.63" W123°05'44.19"
ABAD0001                 145.3        960.00000       12.40    Use file-vertical      1  N44°07'41.45" W123°07'49.33"
ABAD0002                 145.3        960.00000       22.00    Use file-vertical      1  N44°07'41.45" W123°07'49.33"
ABAD0003                 145.3        960.00000       16.00    Use file-vertical      1  N44°07'41.45" W123°07'49.33"
ABAE0002                 164.0        960.00000       16.00    Use file-vertical      1  N44°05'25.91" W123°02'44.91"
ABAE0003                 164.0        960.00000       20.00    Use file-vertical      1  N44°05'25.91" W123°02'44.91"
ABAF0001                 148.1        960.00000       19.40    Use file-vertical      1  N44°06'10.81" W123°14'21.70"
ABAF0002                 148.1        960.00000       22.00    Use file-vertical      1  N44°06'10.81" W123°14'21.70"
ABAF0003                 148.1        960.00000       20.00    Use file-vertical      1  N44°06'10.81" W123°14'21.70"
ABAG0001                 126.5        960.00000       19.40    Use file-vertical      1  N44°13'37.17" W123°15'26.89"
ABAG0002                 126.5        960.00000       18.00    Use file-vertical      1  N44°13'37.17" W123°15'26.89"
ABAG0003                 126.5        960.00000       20.00    Use file-vertical      1  N44°13'37.17" W123°15'26.89"
ABAH0001                 129.4        960.00000       16.00    Use file-vertical      1  N44°13'05.00" W123°09'47.79"
ABAH0002                 129.4        960.00000       23.00    Use file-vertical      1  N44°13'05.00" W123°09'47.79"
ABAH0003                 129.4        960.00000       16.00    Use file-vertical      1  N44°13'05.00" W123°09'47.79"
ABAI0001                 364.4        960.00000       23.00    Use file-vertical      1  N44°16'55.22" W123°19'55.38"
ABAI0002                 374.4        960.00000       17.00    Use file-vertical      1  N44°16'55.22" W123°19'55.38"
ABAI0003                 364.4        960.00000       20.00    Use file-vertical      1  N44°16'55.22" W123°19'55.38"
ABAJ0002                 624.4        960.00000       18.00    Use file-vertical      1  N44°05'41.97" W122°54'26.26"
ABAJ0003                 624.4        960.00000       20.00    Use file-vertical      1  N44°05'41.97" W122°54'26.26"
ABAK0002                 447.0        960.00000       20.00    Use file-vertical      1  N43°58'59.54" W122°52'23.92"
ABAK0003                 447.0        960.00000       20.00    Use file-vertical      1  N43°58'59.54" W122°52'23.92"
ABAL0002                 605.9        960.00000        9.10    Use file-vertical      1  N44°02'01.90" W122°52'11.34"
ABAM0002                 373.4        960.00000       19.00    Use file-vertical      1  N44°09'55.38" W122°54'51.05"
ABAM0003                 373.4        960.00000       19.00    Use file-vertical      1  N44°09'55.38" W122°54'51.05"
ABAN0003                 967.7        960.00000       20.00    Use file-vertical      1  N44°11'51.91" W122°59'14.57"
ABAO0001                 701.4        960.00000       11.40    Use file-vertical      1  N44°10'11.48" W123°00'22.36"
ABAO0002                 701.4        960.00000       14.40    Use file-vertical      1  N44°10'11.48" W123°00'22.36"
ABAP0001                 687.4        960.00000       14.10    Use file-vertical      1  N44°19'03.50" W122°56'47.82"
ABAQ0001                 876.6        960.00000       19.10    Use file-vertical      1  N44°17'29.18" W122°54'16.01"
ABAR0001                 999.1        960.00000       14.10    Use file-vertical      1  N44°14'14.11" W122°56'37.77"
ABAS0001                 251.5        960.00000       17.00    Use file-vertical      1  N44°00'33.53" W123°14'47.88"
ABAS0002                 251.5        960.00000       17.00    Use file-vertical      1  N44°00'33.53" W123°14'47.88"
ABAT0001                 570.3        960.00000       19.40    Use file-vertical      1  N44°02'20.35" W123°26'44.63"
ABAT0002                 570.3        960.00000       22.00    Use file-vertical      1  N44°02'20.35" W123°26'44.63"
ABAU0001                 455.5        960.00000       19.40    Use file-vertical      1  N43°56'53.74" W123°21'14.34"
ABAU0003                 455.5        960.00000       20.00    Use file-vertical      1  N43°56'53.74" W123°21'14.34"
ABAV0001                 470.5        960.00000       17.00    Use file-vertical      1  N43°56'33.09" W123°08'54.79"
ABAV0002                 470.5        960.00000       17.00    Use file-vertical      1  N43°56'33.09" W123°08'54.79"
ABAW0001                 471.3        960.00000       19.40    Use file-vertical      1  N44°09'27.61" W123°27'34.94"
ABAW0002                 471.3        960.00000       18.00    Use file-vertical      1  N44°09'27.61" W123°27'34.94"
ABAX0001                 405.8        960.00000       14.10    Use file-vertical      1  N43°55'34.06" W123°14'58.99"
ABAY0001                 431.3        960.00000       19.40    Use file-vertical      1  N44°16'02.99" W123°24'36.41"
ABAY0002                 431.3        960.00000       18.00    Use file-vertical      1  N44°16'02.99" W123°24'36.41"
ABAZ0001                 447.7        960.00000       14.10    Use file-vertical      1  N43°56'37.93" W123°25'43.04"
ABBC0001                 199.0        960.00000       14.10    Use file-vertical      1  N43°56'14.22" W122°58'39.01"
