Nazwa stacji;Sector ID;Wys. stacji n.p.m.;Moc nadajnika [W]/[dBW];Typ anteny;Azymut [°];Pochylenie [°];Numery przydzielonych kana³ów radiowych;Ruch generowany [mErl] / [kbit/s];Liczba potrzebnych kana³ów rozmównych;Rzeczywiste prawdopodobieñstwo blokady [%];Definicja s¹siedztwa dla HO (ID sektorów) (*)
ABAA;ABAA0001;90.78;12.0;DB834H70.PAT;0;-1.0;7, 37;3080.79;9;0.00;
ABAA;ABAA0002;90.78;12.0;DB834H70.PAT;120;-1.0;13, 26;5015.43;12;0.01;
ABAA;ABAA0003;90.78;12.0;DB834H70.PAT;240;-1.0;5;2261.66;7;0.25;
ABAB;ABAB0001;99.31;11.0;DB872H120.PAT;0;-2.0;20;122.94;2;0.00;
ABAB;ABAB0002;99.31;11.0;DB872H120.PAT;120;-2.0;22;626.99;4;0.00;
ABAB;ABAB0003;99.31;11.0;DB872H120.PAT;240;-2.0;36;362.86;3;0.00;
ABAC;ABAC0001;106.8;10.0;DB834H70.PAT;0;-1.2;4, 11;5636.52;13;0.03;
ABAC;ABAC0002;106.8;10.0;DB834H70.PAT;120;-1.2;6, 25, 27;9512.37;18;0.01;
ABAC;ABAC0003;106.8;10.0;DB834H70.PAT;220;-1.2;9, 17, 19;9311.49;18;0.00;
ABAD;ABAD0002;55.66;11.5;DB872H120.PAT;80;-1.0;11, 23, 37;12371.11;22;0.23;
ABAD;ABAD0003;55.66;11.5;DB872H120.PAT;200;-1.0;3, 8, 25, 32;19268.16;31;0.53;
ABAE;ABAE0001;107.37;10.0;DB872H120.PAT;0;0.0;18, 21, 25;9536.27;19;0.01;
ABAE;ABAE0002;107.37;10.0;DB834H70.PAT;120;0.0;7, 34, 36;8282.41;17;0.00;
ABAE;ABAE0003;107.37;10.0;DB834H70.PAT;220;0.0;14, 16, 26;8999.42;18;0.00;
ABAF;ABAF0001;103.29;13.0;DB834H70.PAT;0;-0.5;27;2132.82;7;0.17;
ABAF;ABAF0002;103.29;13.0;DB834H70.PAT;120;-0.5;15, 33;4973.67;12;0.01;
ABAF;ABAF0003;103.29;13.0;DB834H70.PAT;240;-0.5;10;1145.93;5;0.00;
ABAG;ABAG0001;142.28;12.0;DB834H70.PAT;20;-1.0;4, 26;7916.47;16;0.82;
ABAG;ABAG0002;142.28;12.0;DB872H120.PAT;120;-1.0;22;2741.67;8;0.78;
ABAG;ABAG0003;142.28;12.0;DB872H120.PAT;240;-1.0;28, 31, 34;8915.38;18;0.00;
ABAH;ABAH0001;86.61;13.0;DB834H70.PAT;0;0.0;31, 33;4007.61;10;0.00;
ABAH;ABAH0002;86.61;13.0;DB834H70.PAT;120;0.0;18;2435.83;8;0.39;
ABAH;ABAH0003;86.61;13.0;DB834H70.PAT;240;0.0;5;1310.78;6;0.01;
ABAI;ABAI0001;68.95;9.0;DB855H90.PAT;0;-1.0;5, 26;6941.72;15;0.24;
ABAI;ABAI0002;68.95;9.0;DB834H70.PAT;150;-1.0;3, 12, 15, 30, 35, 39;27091.81;41;0.00;
ABAI;ABAI0003;68.95;9.0;DB834H70.PAT;280;-1.0;7, 18, 21, 23;15755.34;27;0.02;
ABAJ;ABAJ0001;138.01;13.0;DB834H70.PAT;45;0.0;19;2144.79;7;0.18;
ABAJ;ABAJ0002;138.01;13.0;DB834H70.PAT;135;0.0;4, 28;3122.62;9;0.00;
ABAK;ABAK0001;76.42;13.0;DB872H120.PAT;0;0.0;4;1778.85;7;0.05;
ABAK;ABAK0002;76.42;13.0;DB872H120.PAT;120;0.0;25;782.80;4;0.00;
ABAL;ABAL0001;68.48;10.0;DB834H70.PAT;340;-2.0;15, 30, 32, 38;14375.21;25;0.00;
